trial+AF8-name,trial+AF8-number,response,RT,question,picture,pictureNumber,min+AF8-chars,expected,QUD,optionLeft,optionRight,artist,date,color,color2,option1,option2,startDate,startTime,age,gender,education,languages,comments,endTime,timeSpent,experiment+AF8-id,submission+AF8-id
colourVisionTest1,1,74,2956,Which number do you see here?,vision/ishihara.png,0,0,74,,NA,NA,NA,NA,NA,NA,NA,NA,Thu Jul 11 2019 10:56:21 GMT+023//Q- (Mitteleurop+//0Aw//9AKQ-ische Sommerzeit),1562835381971,21,female,Graduated High School,,hi lila,1562835842171,7.67,INSERT+AF8-A+AF8-NUMBER,1
colourVisionTest2,1,7,2618,Which number do you see here?,vision/ishihara2.jpg,0,0,7,,NA,NA,NA,NA,NA,NA,NA,NA,Thu Jul 11 2019 10:56:21 GMT+023//Q- (Mitteleurop+//0Aw//9AKQ-ische Sommerzeit),1562835381971,21,female,Graduated High School,,hi lila,1562835842171,7.67,INSERT+AF8-A+AF8-NUMBER,1
visionTest,1,FELOPZD,10722,Please make sure you are one arm+AC0-length away from your computer screen. Write the letters from line 7 (below the green line) into the box below. Please use capital letters without tabs or spaces in between the letters.,vision/Snellen+AF8-chart.jpg,0,1,FELOPZD,,NA,NA,NA,NA,NA,NA,NA,NA,Thu Jul 11 2019 10:56:21 GMT+023//Q- (Mitteleurop+//0Aw//9AKQ-ische Sommerzeit),1562835381971,21,female,Graduated High School,,hi lila,1562835842171,7.67,INSERT+AF8-A+AF8-NUMBER,1
ratingScaleLike,1,1,2579,How much do you like this picture?,images/002.jpg,2,NA,NA,,not at all,very,B,1909,colored,sepia,NA,NA,Thu Jul 11 2019 10:56:21 GMT+023//Q- (Mitteleurop+//0Aw//9AKQ-ische Sommerzeit),1562835381971,21,female,Graduated High School,,hi lila,1562835842171,7.67,INSERT+AF8-A+AF8-NUMBER,1
ratingScaleLike,2,1,1340,How much do you like this picture?,images/037.jpg,37,NA,NA,,not at all,very,B,1909,monochrome,monochrome,NA,NA,Thu Jul 11 2019 10:56:21 GMT+023//Q- (Mitteleurop+//0Aw//9AKQ-ische Sommerzeit),1562835381971,21,female,Graduated High School,,hi lila,1562835842171,7.67,INSERT+AF8-A+AF8-NUMBER,1
ratingScaleLike,3,1,891,How much do you like this picture?,images/032.jpg,32,NA,NA,,not at all,very,P,1910,colored,sepia,NA,NA,Thu Jul 11 2019 10:56:21 GMT+023//Q- (Mitteleurop+//0Aw//9AKQ-ische Sommerzeit),1562835381971,21,female,Graduated High School,,hi lila,1562835842171,7.67,INSERT+AF8-A+AF8-NUMBER,1
ratingScaleLike,4,2,1357,How much do you like this picture?,images/115.jpg,115,NA,NA,,not at all,very,P,1910,colored,sepia,NA,NA,Thu Jul 11 2019 10:56:21 GMT+023//Q- (Mitteleurop+//0Aw//9AKQ-ische Sommerzeit),1562835381971,21,female,Graduated High School,,hi lila,1562835842171,7.67,INSERT+AF8-A+AF8-NUMBER,1
ratingScaleLike,5,1,1230,How much do you like this picture?,images/025.jpg,25,NA,NA,,not at all,very,P,1911,colored,colored,NA,NA,Thu Jul 11 2019 10:56:21 GMT+023//Q- (Mitteleurop+//0Aw//9AKQ-ische Sommerzeit),1562835381971,21,female,Graduated High School,,hi lila,1562835842171,7.67,INSERT+AF8-A+AF8-NUMBER,1
ratingScaleLike,6,2,1380,How much do you like this picture?,images/054.jpg,54,NA,NA,,not at all,very,P,1910,monochrome,monochrome,NA,NA,Thu Jul 11 2019 10:56:21 GMT+023//Q- (Mitteleurop+//0Aw//9AKQ-ische Sommerzeit),1562835381971,21,female,Graduated High School,,hi lila,1562835842171,7.67,INSERT+AF8-A+AF8-NUMBER,1
ratingScaleLike,7,1,1491,How much do you like this picture?,images/011.jpg,11,NA,NA,,not at all,very,B,1911,colored,sepia,NA,NA,Thu Jul 11 2019 10:56:21 GMT+023//Q- (Mitteleurop+//0Aw//9AKQ-ische Sommerzeit),1562835381971,21,female,Graduated High School,,hi lila,1562835842171,7.67,INSERT+AF8-A+AF8-NUMBER,1
ratingScaleLike,8,1,828,How much do you like this picture?,images/112.jpg,112,NA,NA,,not at all,very,P,1911,colored,sepia,NA,NA,Thu Jul 11 2019 10:56:21 GMT+023//Q- (Mitteleurop+//0Aw//9AKQ-ische Sommerzeit),1562835381971,21,female,Graduated High School,,hi lila,1562835842171,7.67,INSERT+AF8-A+AF8-NUMBER,1
